THREADS,TAMANHO,RUNTIME(s)
3,10000,0.189245
3,10000,0.188533
3,10000,0.188088
3,10000,0.187906
7,10000,0.075244
7,10000,0.067779
7,10000,0.074533
7,10000,0.064743
15,10000,0.037665
15,10000,0.038033
15,10000,0.039292
15,10000,0.032813
31,10000,0.033719
31,10000,0.026145
31,10000,0.029954
31,10000,0.025536
3,100000,11.413100
3,100000,11.482189
3,100000,11.550082
3,100000,11.549487
7,100000,3.191955
7,100000,3.195990
7,100000,3.234822
7,100000,3.252043
15,100000,1.123596
15,100000,0.977631
15,100000,0.960185
15,100000,1.070668
31,100000,0.408933
31,100000,0.482924
31,100000,0.568863
31,100000,0.568502
3,1000000,1124.626129
3,1000000,1125.209821
3,1000000,1124.480135
3,1000000,1123.892922
7,1000000,288.211490
7,1000000,297.311576
7,1000000,290.189654
7,1000000,297.053727
15,1000000,74.393625
15,1000000,75.620250
15,1000000,89.138038
15,1000000,74.747163
31,1000000,36.943418
31,1000000,36.860439
31,1000000,36.828408
31,1000000,37.021472
