THREADS,TAMANHO,RUNTIME(s)
3,10000,0.187731
3,10000,0.197705
3,10000,0.197460
3,10000,0.188002
7,10000,0.069778
7,10000,0.065227
7,10000,0.067677
7,10000,0.074444
15,10000,0.048450
15,10000,0.035979
15,10000,0.036379
15,10000,0.041679
31,10000,0.033768
31,10000,0.033499
31,10000,0.027518
31,10000,0.034214
3,100000,11.725477
3,100000,11.618173
3,100000,11.608105
3,100000,11.610294
7,100000,3.323479
7,100000,3.208172
7,100000,3.166578
7,100000,3.017940
15,100000,0.884043
15,100000,1.088473
15,100000,0.971381
15,100000,0.941313
31,100000,0.652842
31,100000,0.573388
31,100000,0.773397
31,100000,0.557216
3,1000000,1125.458831
3,1000000,1124.476570
3,1000000,1125.552317
3,1000000,1125.032052
7,1000000,283.967075
7,1000000,283.692058
7,1000000,297.531400
7,1000000,284.193448
15,1000000,74.580348
15,1000000,74.251071
15,1000000,74.825730
15,1000000,74.581020
31,1000000,36.790275
31,1000000,36.731804
31,1000000,36.546286
31,1000000,36.332237
